ID	EV1	EV2	EV3	EV4	EV5	EV6	EV7	EV8	EV9	EV10	EV11	EV12	EV13	EV14	EV15	EV16	EV17	EV18	EV19	EV20	EV21	EV22	EV23	EV24	EV25	EV26	EV27
36	-0.1321	-0.006838	0.078863	-0.104464	0.005912	0.219129	-0.093729	0.147044	-0.101712	0.066169	0.000093	0.132297	0.011947	-0.032725	0.122472	-0.059556	0.182489	-0.080189	-0.09869	0.017328	-0.108395	-0.006206	0.049108	0.01993	-0.053861	-0.067135	0.039551
37	-0.071458	0.018937	0.054134	-0.087785	-0.023955	0.135602	-0.064199	0.077581	-0.095012	-0.029954	-0.003929	0.142547	0.047011	-0.04858	0.092082	-0.129039	0.141253	-0.069339	-0.20909	0.094185	0.004951	-0.092518	-0.066177	-0.073969	-0.042231	0.011419	-0.036892
38	-0.07253	-0.028011	0.021394	-0.054565	-0.013333	0.130946	-0.10019	0.11723	-0.051304	0.064744	-0.037458	0.093625	-0.089582	-0.153042	0.122102	-0.098017	0.083544	-0.103681	-0.115231	0.047539	-0.0585	-0.142866	0.001495	0.19286	-0.160944	0.00499	0.072776
39	-0.038251	0.013258	0.05871	0.043184	0.08975	-0.049823	0.004849	-0.023034	0.155013	-0.061982	-0.085938	-0.009911	0.029372	-0.090213	0.086258	0.010147	0.038596	-0.221925	-0.029941	0.021676	0.082075	-0.054991	-0.087728	-0.148874	0.07387	-0.014058	-0.050136
40	-0.046763	0.035317	0.074179	0.076731	0.115221	-0.084152	-0.030301	-0.04199	0.15767	-0.078796	-0.097258	0.074517	0.000541	-0.142814	0.073579	0.068863	0.014817	-0.151781	-0.096417	0.048295	-0.011405	0.122082	-0.024785	-0.165699	-0.074892	-0.087639	-0.098447
41	-0.025112	0.036216	0.043139	0.074338	0.072816	-0.07905	-0.051833	-0.029319	0.062545	-0.062794	-0.073284	0.133471	-0.044929	-0.117412	0.009929	0.069417	0.002342	-0.017781	-0.12812	0.036328	-0.128256	0.242463	0.019403	-0.094121	-0.11169	-0.068251	-0.079757
42	-0.072833	0.110161	0.106293	0.157954	0.163793	-0.148679	-0.107096	-0.082288	0.10803	-0.067398	-0.066	0.183987	-0.04402	-0.138856	0.006918	0.117676	-0.033241	0.0501	-0.109155	0.059673	-0.066991	0.152119	0.071315	-0.020439	-0.142783	-0.069607	-0.035444
43	-0.102638	0.101085	0.131196	0.062826	0.136946	-0.061125	-0.064118	-0.095074	0.101798	-0.033001	0.064963	0.008353	0.072683	-0.031368	0.046539	0.100253	-0.123177	0.101076	0.102155	0.018517	0.066474	-0.05919	0.017606	0.077003	-0.188999	0.001841	0.049383
44	-0.071736	0.166604	0.079036	0.109444	0.081568	-0.114163	-0.120063	-0.11527	-0.043295	0.041345	0.138133	0.060368	-0.033331	-0.037635	-0.008367	0.056093	-0.086309	0.226709	-0.036112	0.058955	0.065183	-0.160283	0.086423	0.095659	-0.066587	-0.078749	0.028716
45	-0.14639	0.183975	0.147006	-0.059736	0.029129	0.032543	-0.077545	-0.136507	-0.062098	-0.017653	0.236384	-0.069417	0.127598	0.049026	-0.005807	0.033149	-0.193001	0.128315	0.102862	0.012453	0.045909	-0.047568	-0.123298	0.039007	-0.130277	0.107693	0.025794
46	-0.05421	0.165373	0.033263	0.022897	-0.012684	-0.071709	-0.063983	-0.125367	-0.085078	0.102973	0.224189	-0.114522	-0.047905	-0.026247	0.020524	-0.018583	-0.06265	0.084995	-0.056297	0.038791	0.023083	-0.203997	-0.019113	0.033262	0.025922	-0.082172	-0.015718
47	-0.08804	0.167445	0.052617	-0.159231	-0.124015	0.056396	0.016731	-0.114673	-0.06275	-0.123932	0.034661	-0.037654	0.0431	-0.004467	-0.14873	-0.019537	-0.15583	-0.088451	-0.040447	0.023818	0.036674	0.092517	-0.116551	0.052262	0.008353	0.131363	-0.002505
48	-0.062333	0.186541	0.019761	-0.073982	-0.094313	-0.032988	-0.001825	-0.151451	-0.065164	0.051345	0.184485	-0.205488	-0.052997	-0.046436	-0.03302	-0.026115	-0.103646	-0.151943	-0.037545	-0.012971	-0.127036	0.055177	-0.158719	0.0383	-0.033793	0.078391	-0.00161
49	-0.143324	0.10923	0.123858	-0.173725	-0.049425	0.197668	-0.063862	0.018647	-0.140239	-0.103319	0.06458	0.141525	0.175746	0.061485	0.007347	-0.091998	0.04583	0.011237	-0.112654	0.075259	0.072037	0.031812	-0.099642	-0.193746	0.04285	0.071775	-0.081587
50	-0.063443	0.123725	0.021064	-0.174194	-0.139518	0.078135	0.049301	-0.0403	-0.02051	-0.191346	-0.142353	0.119618	0.046425	0.013369	-0.15917	-0.013451	-0.052918	0.03851	-0.07974	0.067681	0.200869	-0.074951	0.067648	-0.011609	0.133242	-0.048289	-0.053908
51	-0.049999	0.043916	0.040695	-0.090391	-0.047128	0.086093	-0.018388	0.017856	-0.067686	-0.096577	-0.026582	0.118389	0.075596	0.001231	-0.010845	-0.091923	0.053936	-0.007027	-0.169633	0.095042	0.119234	-0.06836	-0.060419	-0.152884	0.08283	0.016695	-0.100663
52	-0.019773	0.065234	0.030544	0.123783	0.071887	-0.097729	-0.085483	-0.013187	-0.020185	-0.048799	-0.088196	0.196472	-0.089903	-0.047725	-0.079523	0.044133	0.015721	0.054465	-0.096254	-0.004894	-0.192685	0.232981	0.011772	0.015146	0.004701	0.053994	-0.004904
53	-0.015632	0.155456	0.007177	0.21994	0.076239	-0.131243	-0.133207	-0.005006	-0.124018	0.033604	-0.055964	0.206606	-0.113476	0.042339	-0.133876	-0.000789	0.056816	0.116299	-0.043048	-0.013549	-0.035774	0.023661	0.080954	0.07637	0.135812	0.056214	0.040903
54	0.028753	0.092228	-0.041654	0.200538	0.017987	-0.019765	-0.07021	0.091728	-0.171504	-0.022773	-0.125121	0.088172	-0.037729	0.162052	-0.148367	-0.059677	0.009369	-0.078914	0.127622	-0.077934	-0.028893	-0.029048	-0.118565	0.040601	0.077528	0.139391	0.043728
55	0.052914	0.158135	-0.093663	0.200255	-0.000551	-0.021101	-0.043989	0.081533	-0.125649	0.131154	-0.050328	0.038135	0.013343	0.103363	-0.059745	-0.061988	0.112017	-0.044947	0.038768	-0.011956	0.215129	-0.019641	0.094124	-0.029962	0.074482	0.011232	-0.003367
56	-0.007803	0.191995	-0.038279	0.123836	-0.001382	-0.108106	-0.070946	-0.045587	-0.100509	0.186069	0.113421	-0.008611	-0.089522	0.014868	0.013203	-0.039449	0.117376	0.100044	-0.077461	0.038848	0.12527	-0.190795	0.162218	-0.026326	0.167772	-0.134295	-0.029426
57	-0.013455	0.172348	-0.044832	0.010906	-0.065995	-0.074863	-0.004857	-0.082408	-0.051639	0.17996	0.157364	-0.165149	-0.095073	-0.035924	0.065929	-0.04672	0.090466	-0.08633	-0.081146	0.011412	-0.044733	-0.07271	0.016175	-0.082794	0.095278	-0.098932	-0.059377
58	-0.009308	0.168933	-0.065827	-0.053757	-0.116759	-0.050919	0.055444	-0.075062	0.009177	0.125211	0.051017	-0.178228	-0.104558	-0.048555	0.037857	-0.008802	0.087871	-0.215126	-0.015378	-0.043656	-0.175501	0.150866	-0.012107	-0.056803	-0.02425	0.003185	-0.010215
59	-0.03564	0.156592	-0.025596	-0.117675	-0.144368	-0.015061	0.066822	-0.104135	0.006336	-0.023594	-0.018142	-0.132645	-0.083493	-0.050456	-0.094322	0.015736	-0.050723	-0.215255	0.006023	-0.0523	-0.153806	0.200732	-0.035972	0.088199	-0.049107	0.07411	0.048788
60	0.00091	0.1791	-0.103141	-0.112	-0.159078	-0.033236	0.118395	-0.029359	0.102983	0.047811	-0.137136	-0.048042	-0.095101	-0.011419	0.017933	0.07347	0.095972	-0.059352	0.083873	-0.050855	-0.118655	0.09045	0.095353	-0.007355	-0.089849	-0.022376	0.034222
61	-0.039338	0.15248	-0.028706	-0.168278	-0.175812	0.017682	0.099679	-0.073635	0.044913	-0.145014	-0.184054	0.01949	-0.052635	-0.017796	-0.177752	0.056887	-0.067843	-0.039616	0.029704	-0.01561	0.056765	0.031864	0.141777	0.138722	0.038152	-0.062276	0.04785
62	-0.020679	0.073223	-0.015789	-0.101468	-0.100826	0.016207	0.061641	-0.024971	0.03531	-0.124399	-0.15803	0.069109	-0.021417	-0.001202	-0.120362	0.038945	-0.03757	0.062115	0.015163	0.008555	0.130035	-0.093193	0.161089	0.091912	0.085081	-0.13199	0.016967
63	-0.011853	0.132423	-0.069669	-0.146638	-0.149976	0.0016	0.117118	-0.005706	0.11628	-0.095012	-0.233077	0.09701	-0.04864	0.02341	-0.042894	0.099382	0.012179	0.159126	0.092186	-0.012406	0.044182	-0.14393	0.126623	0.044858	-0.03352	-0.096352	0.022673
64	0.042634	0.138523	-0.146581	-0.087197	-0.075761	-0.030001	0.110735	0.078546	0.176878	0.096943	-0.113064	0.085731	-0.005749	0.060486	0.1754	0.090366	0.072075	0.198144	0.096942	0.002822	-0.089783	-0.090837	-0.092832	-0.087467	-0.12571	0.070953	-0.015674
65	0.051012	0.057272	-0.115486	-0.073398	0.021235	-0.023375	0.054467	0.110991	0.1457	0.034011	0.006215	0.107712	0.013281	0.086558	0.162524	0.045035	-0.056889	0.174013	0.011354	-0.017739	-0.091478	-0.080662	-0.21847	-0.026725	-0.05877	0.106377	-0.023548
66	0.014527	0.058188	-0.067788	-0.063743	-0.045342	-0.016999	0.065406	0.049055	0.112775	-0.002609	-0.097625	0.085088	-0.017302	0.049326	0.110544	0.070843	0.013676	0.207421	0.081116	-0.020785	-0.067841	-0.155282	-0.104549	-0.038979	-0.114509	0.045023	-0.003674
67	0.004001	0.064067	-0.007219	0.144618	0.033688	-0.055512	-0.075746	0.045278	-0.119478	-0.044704	-0.110408	0.145138	-0.081177	0.093442	-0.14343	-0.028529	0.006872	-0.010249	0.054997	-0.073494	-0.182966	0.069327	-0.128327	0.068638	0.113216	0.177214	0.055771
68	0.029715	0.046743	-0.031449	0.153036	0.000867	0.023929	-0.037023	0.094814	-0.139406	-0.087613	-0.117109	0.003396	-0.013349	0.146041	-0.08547	-0.035383	-0.072593	-0.119719	0.14946	-0.051287	-0.135076	-0.07849	-0.20545	-0.003053	-0.030002	0.046376	-0.000763
69	0.090168	0.085868	-0.078712	0.249041	-0.017065	0.119727	-0.012104	0.142151	-0.146816	-0.073868	-0.106062	-0.092336	0.085325	0.123204	-0.039142	-0.014829	-0.087175	-0.145638	0.11195	-0.007514	0.087995	-0.049209	-0.053454	-0.034617	-0.169102	-0.056576	-0.03293
70	0.043615	0.024848	-0.026348	0.143681	-0.021908	0.087656	-0.001003	0.092266	-0.094022	-0.148877	-0.069154	-0.128303	0.005676	0.081693	0.053099	0.031555	-0.130556	-0.074272	0.069984	0.061979	-0.162344	-0.147678	-0.082126	-0.077726	-0.088962	-0.176849	-0.078443
71	0.141161	0.111281	-0.138535	0.138513	0.006704	0.117209	0.036532	0.091331	0.016398	0.155294	-0.008069	-0.009435	0.222543	-0.031275	-0.020551	-0.022225	-0.000263	-0.067515	-0.01787	0.027809	0.2736	0.166399	0.053929	0.029803	-0.113438	0.039547	0.010749
72	0.059326	0.22592	-0.168335	0.033662	-0.076446	-0.048026	0.060857	0.04236	0.047581	0.270871	0.01378	-0.053598	-0.005888	0.021261	0.126076	-0.011213	0.19212	-0.041275	-0.002375	0.025175	0.068358	0.044094	0.079697	-0.138543	0.020405	-0.01826	-0.049083
73	0.124694	0.104959	-0.192841	-0.058192	0.062115	0.009845	0.061405	0.137391	0.160279	0.162855	0.051799	0.104469	0.151133	0.034777	0.110398	0.013553	-0.074776	0.067515	-0.027681	0.103186	-0.020313	0.063187	-0.140364	0.00802	0.038271	0.108741	-0.016423
74	0.103504	0.021652	-0.157908	-0.144649	0.167434	-0.043263	-0.002362	0.17275	0.115656	-0.080734	0.196395	0.092094	-0.067039	0.137481	0.050606	-0.014388	-0.170807	-0.027616	-0.117371	-0.105591	-0.011571	0.021832	-0.070249	0.071683	0.083332	-0.043952	-0.012712
75	0.039246	-0.002021	-0.066983	-0.075149	0.090442	-0.036196	-0.014057	0.098962	0.039497	-0.108718	0.134226	0.028413	-0.115259	0.110696	0.032801	-0.028333	-0.092308	-0.064258	-0.123949	-0.230226	0.103131	0.054246	0.000935	0.074687	-0.001312	-0.165017	-0.013535
76	0.039246	-0.002021	-0.066983	-0.075149	0.090442	-0.036196	-0.014057	0.098962	0.039497	-0.108718	0.134226	0.028413	-0.115259	0.110696	0.032801	-0.028333	-0.092308	-0.064258	-0.123949	-0.230226	0.103131	0.054246	0.000935	0.074687	-0.001312	-0.165017	-0.013535
