Label,x,y,elevation
BX226,-67.15966967,18.05332487,63
BX227,-67.15963221,18.04428947,32
BX228,-67.15959475,18.03525407,16
BX229,-67.1595573,18.02621867,10
BX230,-67.15951985,18.01718326,5
BX231,-67.1594824,18.00814785,3
BX232,-67.15944496,17.99911244,29
BX233,-67.15940752,17.99007702,38
BX234,-67.15937009,17.9810416,21
BX235,-67.15933265,17.97200618,0
BX236,-67.15864381,17.96357243,0
BX237,-67.15672045,17.95724895,16
BY177,-67.15067805,18.49532697,0
BY178,-67.15200388,18.4870506,70
BY179,-67.15196673,18.47801566,83
BY180,-67.15192957,18.4689807,95
BY181,-67.15189242,18.45994572,98
BY182,-67.15185527,18.45091073,121
BY183,-67.15181766,18.44187618,156
BY184,-67.1515446,18.43277152,165
BY185,-67.15163726,18.42373197,114
BY186,-67.15170672,18.41477064,87
BY187,-67.1516696,18.40573558,41
BY188,-67.15163247,18.39670051,9
BY189,-67.15159535,18.38766542,9
BY190,-67.15155824,18.37863033,10
BY191,-67.15152112,18.36959522,25
BY192,-67.15148401,18.3605601,51
BY193,-67.15144691,18.35152497,75
BY194,-67.15140981,18.34248982,101
BY195,-67.15137271,18.33345467,126
BY196,-67.15133562,18.3244195,186
BY197,-67.15129853,18.31538433,186
BY198,-67.15126144,18.30634914,107
BY199,-67.15122436,18.29731394,60
BY200,-67.15118728,18.28827873,45
BY201,-67.15115021,18.27924351,11
BY202,-67.15111314,18.27020829,9
BY203,-67.15107607,18.26117305,7
BY204,-67.15103901,18.2521378,9
BY205,-67.15100195,18.24310255,15
BY206,-67.1509649,18.23406728,30
BY207,-67.15092785,18.22503201,57
BY208,-67.15086465,18.21601994,57
BY209,-67.15000034,18.20719752,37
BY210,-67.15045714,18.19768265,23
BY211,-67.15077968,18.18889083,19
BY212,-67.15074265,18.17985552,17
BY213,-67.15070562,18.1708202,20
BY214,-67.15066859,18.16178487,23
BY215,-67.15063157,18.15274954,20
BY216,-67.15059456,18.1437142,31
BY217,-67.15055754,18.13467885,14
